Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=e63f068754fc6831,40135 - Client Services Rep,서울,,"quality, time, costs and results • Define and implement long- term technical architectures / integrations - sustainable..."
https://kr.indeed.com/viewjob?jk=e05f5f580ba458b1,"GWS, Receptionist (6 month contract)",서울,,policies to achieve set results and deadlines. Errors in judgment may cause short- term impact to co-workers and supervisor.
https://kr.indeed.com/viewjob?jk=98bead83cdd0cea2,Technical Sales Specialist for D&M,서울,,feedback and identified business opportunities Develops long term customer relationships and achieves customer satisfaction...
https://kr.indeed.com/viewjob?jk=a5e4edd6159d33ad,"Client Partner, Consumer Packaged Goods (CPG)",서울,,execute strategies & initiatives that drive short and long- term sales opportunities for focused clients from CPG vertical...
https://kr.indeed.com/viewjob?jk=d476564717f124b3,Account Sales,서울,,opportunity development Strategic planning short & long term business development You are best equipped... task if you...
https://kr.indeed.com/viewjob?jk=827a663f71a7251d,"Marketing Specialist, Hematology (1-year fixed term)",서울,,"Bristol Myers Squibb에서 우리는 과학을 통해 환자의 삶을 변화시키는 단일 비전에서 영감을 받았습니다. 종양학, 혈액학, 면역학 및 심혈관 질환과 업계에서 가장 다양하고 유망한 파이프 라인 중 하나 인 우리의..."
https://kr.indeed.com/viewjob?jk=ca01112f2d124b7e,E-Boutique Professional,서울,,platform & identify new opportunities - building strong & long term partnerships with operators to get analytics and customer...
https://kr.indeed.com/viewjob?jk=bf702ecefcda62cf,"Specialist, Relationship Management",서울,,"client, advising... best way to achieve short- and long- term strategic objectives. From a global, bank-wide perspective..."
https://kr.indeed.com/viewjob?jk=d01f2d01c97ebb4a,CIB Operations - Wholesale Banking Operations - Regulatory R...,서울,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
https://kr.indeed.com/viewjob?jk=e1cf87ded0a84c3b,Shinsegae Main - Junior Retail Consultant,서울,,"Behaviour: Goes beyond what is expected, considers the longer term impact of decisions and actions Takes accountability..."
https://kr.indeed.com/viewjob?jk=e777d2bc5231a78b,CIB Operations - Client Onboarding Middle Office - KYC Speci...,서울,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
https://kr.indeed.com/viewjob?jk=9659307d11d71a72,KB Financial Group Technology Seller,서울,,IBM’s relevancy to both new and longer- term business executives within the account... medium- and long- term client strategy...
https://kr.indeed.com/viewjob?jk=db562e7022c99660,Sales Representive,서울,,Key Client Director • Manage customer’s expectation and long- term relationship. • Support to achieve team target for revenue...
https://kr.indeed.com/viewjob?jk=cb13f43a0e9b1d2d,Automotive Industry Manager,서울,,"content, and marketing plan, as well as help define the long- term technology roadmap. Through... efforts, you will shape..."
https://kr.indeed.com/viewjob?jk=a8c731d6f6cd6241,CIB Operations - Market Operations - FX & Derivatives Trade...,서울,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
https://kr.indeed.com/viewjob?jk=922b19773251aff4,Senior Sales Engineer IPT,서울,,team Accurately... creation and implementation of annual and long term plans... business Customer call reports...
https://kr.indeed.com/viewjob?jk=7098de7b40cad487,"Medical Science Liaison, Korea",서울,,"regulations. The role... responsible for developing long- term HCP (health care provider) relationships, contacting HCPs..."
https://kr.indeed.com/viewjob?jk=46c877ccc5d14391,Contract Negotiator,서울,,actively invest in our team members to support... long- term growth so they can continue to advance our mission and achieve...
https://kr.indeed.com/viewjob?jk=3ef13794921993c2,"ROK - Senior Manager, South Korea, C5(L)",서울,,"year 15 March 2022 Grade C5 (L) Type of Position Fixed Term, Full-time Working hours per week 36 Duration of Post 12 months..."
https://kr.indeed.com/viewjob?jk=b72515bb9b115152,Linux Sales Representative,서울,,"exceeding the long term territory revenue... eco-system, Building the basis for long term future success · Team work and team..."
https://kr.indeed.com/viewjob?jk=5f5b250e13667202,"Product Management Specialist, Large Cars",서울,,product information for proper alignment with short- and mid- term volume planning • Represent brand and respective products...
https://kr.indeed.com/viewjob?jk=eac841df3f0faeb0,Marketing Manager (VMS),서울,,"touch points Build VMS brands in local market, develop mid-long term brand strategy & annual brand plans, manage portfolio..."
https://kr.indeed.com/viewjob?jk=1e869553695ad663,FINANCIAL ACCOUNTANT,서울,,world. We specialise... proprietary trading... short- term wholesale electricity markets across Europe. We make use...
https://kr.indeed.com/viewjob?jk=a846f997bb1b4752,Business Development Partner,서울,,relationship driven role requires long term investment... focused set... cycle... long- term strategic nature...
https://kr.indeed.com/viewjob?jk=983cce8d1fef89b3,[Lionbridge] Korean Content Editor 경력,서울 마포구,,need... living within commuting distance from Seoul. Long- term and regular commitment to our localization projects...
https://kr.indeed.com/viewjob?jk=7362f3cf51658ede,Senior Recruiter (Based in Seoul),서울,,"recruitment-related initiatives... contribute... long- term growth... team, including candidate engagement/CRM..."
https://kr.indeed.com/viewjob?jk=2d1e5da4e52c116a,"Project Manager - Drives, Motors, Seoul/Cheonan",서울,,"Technical Consulting Manager II, you will build long term customer relationships and manage resolution to specific customer..."
https://kr.indeed.com/viewjob?jk=e8e4a7f2c191c51a,Internship_Marketing Specialist,대한민국,,business to meet customer value supporting short and long term plan. Development business opportunities with various sales...
https://kr.indeed.com/viewjob?jk=da9ba69378a0cb6c,Professional Service Manager-Korea,서울 강남구,,"organization’s overall mission, vision, values, and long- term objectives. The Global level... confirmed when an offer..."
https://kr.indeed.com/viewjob?jk=6199883134e360ac,"Music Business Partnerships Manager,",서울,,original content & events) and international. - Identify long- term audience and content priorities in parallel... Apple...
